from,to,distance
120051,159651,1855.5
159651,120051,1855.5
120051,159652,1855.5
159652,120051,1855.5
120051,159711,1897.4
159711,120051,1897.4
120051,159712,1855.5
159712,120051,1855.5
120051,159713,1906.6
159713,120051,1906.6
120051,405021,451.0
405021,120051,451.0
120051,405022,451.0
405022,120051,451.0
120051,405031,443.5
405031,120051,443.5
120051,405032,443.5
405032,120051,443.5
120051,405041,389.7
405041,120051,389.7
120051,405051,389.7
405051,120051,389.7
120051,405071,459.5
405071,120051,459.5
120051,405081,459.5
405081,120051,459.5
120051,405082,459.5
405082,120051,459.5
120051,405091,465.2
405091,120051,465.2
120051,405101,465.2
405101,120051,465.2
120051,405111,465.2
405111,120051,465.2
120051,405421,389.7
405421,120051,389.7
120051,405651,435.3
405651,120051,435.3
120051,405661,435.3
405661,120051,435.3
120051,405681,389.7
405681,120051,389.7
120051,405711,389.7
405711,120051,389.7
120051,405712,389.7
405712,120051,389.7
120051,405721,389.7
405721,120051,389.7
120051,406011,953.9
406011,120051,953.9
120051,406021,953.9
406021,120051,953.9
120051,406022,953.9
406022,120051,953.9
120051,406081,1258.8
406081,120051,1258.8
120051,406082,1258.8
406082,120051,1258.8
120051,406091,1258.8
406091,120051,1258.8
120051,406101,1289.6
406101,120051,1289.6
120051,406121,1289.6
406121,120051,1289.6
120051,701021,2070.6
701021,120051,2070.6
120051,701051,2063.5
701051,120051,2063.5
120051,701052,2063.5
701052,120051,2063.5
120051,701111,2078.6
701111,120051,2078.6
120051,701112,2078.6
701112,120051,2078.6
120051,701113,2078.6
701113,120051,2078.6
120051,701121,2078.6
701121,120051,2078.6
120051,702011,1792.8
702011,120051,1792.8
120051,702031,1792.8
702031,120051,1792.8
120051,702041,1830.5
702041,120051,1830.5
120051,702051,1830.5
702051,120051,1830.5
120051,702052,1830.5
702052,120051,1830.5
120051,702111,1811.7
702111,120051,1811.7
120051,702112,1811.7
702112,120051,1811.7
120051,702121,1811.7
702121,120051,1811.7
120051,703021,2062.9
703021,120051,2062.9
120051,703022,2062.9
703022,120051,2062.9
120051,703031,2062.9
703031,120051,2062.9
120051,703051,2143.1
703051,120051,2143.1
120051,703052,2143.1
703052,120051,2143.1
120051,703081,2084.1
703081,120051,2084.1
120051,703082,2084.1
703082,120051,2084.1
120051,703091,2084.1
703091,120051,2084.1
120051,703111,2019.3
703111,120051,2019.3
120051,703112,2019.3
703112,120051,2019.3
120051,709011,1894.3
709011,120051,1894.3
120051,709021,1894.3
709021,120051,1894.3
120051,709051,1894.3
709051,120051,1894.3
120051,709052,1894.3
709052,120051,1894.3
120051,709061,1894.3
709061,120051,1894.3
120051,709081,1911.1
709081,120051,1911.1
120051,709082,1911.1
709082,120051,1911.1
120051,709083,1911.1
709083,120051,1911.1
120051,709101,1911.1
709101,120051,1911.1
120051,709111,1911.1
709111,120051,1911.1
120051,709112,1911.1
709112,120051,1911.1
120051,709121,1911.1
709121,120051,1911.1
120051,709651,1894.3
709651,120051,1894.3
120051,709652,1894.3
709652,120051,1894.3
120051,709661,1894.3
709661,120051,1894.3
120051,709711,1911.1
709711,120051,1911.1
120051,709712,1911.1
709712,120051,1911.1
120051,711021,1753.1
711021,120051,1753.1
120051,711022,1753.1
711022,120051,1753.1
120051,711051,1895.6
711051,120051,1895.6
120051,711052,1895.6
711052,120051,1895.6
120051,711053,1895.6
711053,120051,1895.6
120051,711081,1777.9
711081,120051,1777.9
120051,711082,1777.9
711082,120051,1777.9
120051,711111,1873.0
711111,120051,1873.0
120051,711112,1873.0
711112,120051,1873.0
120051,711113,1873.0
711113,120051,1873.0
120051,711181,1901.0
711181,120051,1901.0
120051,711182,1901.0
711182,120051,1901.0
120051,711191,1873.0
711191,120051,1873.0
120051,711651,1753.1
711651,120051,1753.1
120051,711652,1753.1
711652,120051,1753.1
120051,711653,1753.1
711653,120051,1753.1
